index,G3
0,15.75342946653515
1,15.211410566253544
2,12.812507673360905
3,9.157308304229769
4,13.354526573642511
5,12.098230097404013
6,14.690686042404664
7,6.143865900962913
8,11.542603789236033
9,12.098230097404013
10,9.147492125273937
11,9.699327204511373
12,12.978612650847879
13,9.699327204511373
14,9.157308304229769
15,10.503283951947754
16,14.497132990296652
17,9.578183435228958
18,9.360677535293613
19,10.169225350425423
20,12.098230097404013
21,12.961754176041328
22,10.955623680749872
23,10.919288014100912
24,12.27507984077473
25,12.902186844840394
26,4.797805785785279
27,13.7754017046417
28,12.695954971773919
29,9.4503567067731
30,2.3989028928926395
31,11.222152595600077
32,9.87617694788209
33,10.200419370448591
34,14.181714985630865
35,9.699327204511373
36,14.497132990296652
37,11.733060940493125
38,12.739593245475454
39,6.230952005394493
40,12.27507984077473
41,12.098230097404013
42,16.896035883189292
43,11.723244761537293
44,11.949768004488622
45,11.556211197122408
46,4.797805785785279
47,11.733060940493125
48,10.06880141306219
49,12.27507984077473
50,4.797805785785279
51,9.334158047600486
52,8.104381059055115
53,4.721464447237444
54,12.098230097404013
55,15.75342946653515
56,4.797805785785279
57,9.699327204511373
58,9.622985865963539
59,10.562851283148689
60,11.683239089638416
61,9.622985865963539
62,11.556211197122408
63,9.157308304229769
64,12.098230097404013
65,7.583656535206234
66,14.36105887862484
67,13.278185235094675
68,9.509924037974034
69,12.902186844840394
70,7.517131375614231
71,6.175376312076525
72,11.556211197122408
73,5.512083361742171
74,12.989357416731622
75,10.562851283148689
76,9.157308304229769
77,14.77692802736798
78,13.104762402386342
79,11.556211197122408
80,9.699327204511373
81,12.902186844840394
82,3.821304346618109
83,9.157308304229769
84,9.374015368225265
85,5.764575513456265
86,13.354526573642511
87,2.6919512954359712
88,4.43263662887439
89,15.75342946653515
90,9.334158047600486
91,12.442763889855367
92,9.699327204511373
93,14.497132990296652
94,9.595611571570558
95,14.218050652279825
96,3.744878540610625
97,9.699327204511373
98,11.04530285222936
99,6.717395212358129
100,7.770322457532783
101,18.15233235942779
102,17.360549287890017
103,13.576337525217784
